# From the Bright Star Catalogue, 5th Revised Ed.,
# available online through VizieR.

# Only the first three columns (Dec, RA, Mag) are used by Xplanet.

#    Dec      RA   Mag         Name  BSN     HD    SAO
-55.0108  9.3686  2.50 "   Kap Vel" 3734  81188 236891
  4.0897  3.0380  2.53 " 92Alp Cet"  911  18884 110920
-47.2883 13.9257  2.55 "   Zet Cen" 5231 121263 224538
 20.5236 11.2351  2.56 " 68Del Leo" 4357  97603  81727
-10.5672 16.6193  2.56 " 13Zet Oph" 6175 149757 160006
-17.8222  5.5455  2.58 " 11Alp Lep" 1865  36673 150547
-17.5419 12.2634  2.59 "  4Gam Crv" 4662 106625 157176
-29.8803 19.0435  2.60 " 38Zet Sgr" 7194 176687 187600
-50.7225 12.1393  2.60 "   Del Cen" 4621 105435 239689
 -9.3831 15.2834  2.61 " 27Bet Lib" 5685 135742 140430
 19.8417 10.3329  2.61 " 41Gam1Leo" 4057  89484  81298
 37.2125  5.9954  2.62 " 37The Aur" 2095  40312  58636
-19.8056 16.0906  2.62 "  8Bet1Sco" 5984 144217 159682
 20.8081  1.9107  2.64 "  6Bet Ari"  553  11636  75012
-34.0742  5.6608  2.64 "   Alp Col" 1956  37795 196059
  6.4256 15.7378  2.65 " 24Alp Ser" 5854 140573 121157
-23.3967 12.5731  2.65 "  9Bet Crv" 4786 109379 180915
 18.3978 13.9114  2.68 "  8Eta Boo" 5235 121370 100766
 60.2353  1.4303  2.68 " 37Del Cas"  403   8538  22268
-43.1339 14.9755  2.68 "   Bet Lup" 5571 132058 225335
 33.1661  4.9499  2.69 "  3Iot Aur" 1577  31398  57522
-37.2958 17.5127  2.69 " 34Ups Sco" 6508 158408 208896
-49.4200 10.7795  2.69 "   Mu  Vel" 4216  93497 222321
-69.1356 12.6197  2.69 "   Alp Mus" 4798 109668 251974
 27.0742 14.7498  2.70 " 36Eps Boo" 5506 129989  83500
-29.8281 18.3499  2.70 " 19Del Sgr" 6859 168454 186681
-37.0975  7.2857  2.70 "   Pi  Pup" 2773  56855 197795
 10.6133 19.7710  2.72 " 50Gam Aql" 7525 186791 105223
 -3.6944 16.2391  2.74 "  1Del Oph" 6056 146051 141052
 61.5142 16.3999  2.74 " 14Eta Dra" 6132 148387  17074
-16.0417 14.8480  2.75 "  9Alp2Lib" 5531 130841 158840
-36.7122 13.3433  2.75 "   Iot Cen" 5028 115892 204371
-64.3944 10.7159  2.76 "   The Car" 4199  93030 251083
  4.5672 17.7246  2.77 " 60Bet Oph" 6603 161096 122671
 -5.9100  5.5906  2.77 " 44Iot Ori" 1899  37043 132323
 21.4897 16.5037  2.77 " 27Bet Her" 6148 148856  84411
-41.1669 15.5857  2.78 "   Gam Lup" 5776 138690 225938
 -5.0864  5.1308  2.79 " 67Bet Eri" 1666  33111 131794
 52.3014 17.5072  2.79 " 23Bet Dra" 6536 159181  30429
-58.7489 12.2524  2.80 "   Del Cru" 4656 106490 239791
-77.2542  0.4292  2.80 "   Bet Hyi"   98   2151 255670
 31.6031 16.6881  2.81 " 40Zet Her" 6212 150680  65485
-24.3042  8.1257  2.81 " 15Rho Pup" 3185  67523 175217
-25.4217 18.4662  2.81 " 22Lam Sgr" 6913 169916 186841
-28.2161 16.5981  2.82 " 23Tau Sco" 6165 149438 184481
 10.9592 13.0363  2.83 " 47Eps Vir" 4932 113226 100384
 15.1836  0.2206  2.83 " 88Gam Peg"   39    886  91781
-20.7594  5.4707  2.84 "  9Bet Lep" 1829  36079 170457
 31.8836  3.9022  2.85 " 44Zet Per" 1203  24398  56799
-55.5300 17.4217  2.85 "   Bet Ara" 6461 157244 244725
-63.4306 15.9190  2.85 "   Bet TrA" 5897 141891 253346
-60.2597 22.3084  2.86 "   Alp Tuc" 8502 211416 255193
-61.5697  1.9795  2.86 "   Alp Hyi"  591  12311 248474
 24.1050  3.7914  2.87 " 25Eta Tau" 1165  23630  76199
 45.1308 19.7496  2.87 " 18Del Cyg" 7528 186882  48796
-16.1272 21.7840  2.87 " 49Del Cap" 8322 207098 164644
 22.5136  6.3827  2.88 " 13Mu  Gem" 2286  44478  78297
 31.8886  7.5767  2.88 " 66Alp Gem" 2890  60178  60198
 40.0103  3.9642  2.89 " 45Eps Per" 1220  24760  56840
-21.0236 19.1627  2.89 " 41Pi  Sgr" 7264 178524 187756
-25.5928 16.3531  2.89 " 20Sig Sco" 6084 147165 184336
-26.1142 15.9809  2.89 "  6Pi  Sco" 5944 143018 183987
-68.6794 15.3152  2.89 "   Gam TrA" 5671 135382 253097
  8.2894  7.4525  2.90 "  3Bet CMi" 2845  58715 115456
 38.3183 12.9338  2.90 " 12Alp2CVn" 4915 112413  63257
 -5.5711 21.5260  2.91 " 22Bet Aqr" 8232 204867 145457
 53.5064  3.0799  2.93 " 23Gam Per"  915  18925  23789
-50.6147  6.8323  2.93 "   Tau Pup" 2553  50310 234735
 30.2214 22.7167  2.94 " 44Eta Peg" 8650 215182  90734
-13.5086  3.9672  2.95 " 34Gam Eri" 1231  25025 149283
-16.5156 12.4977  2.95 "  7Del Crv" 4757 108767 157323
-49.8761 17.5307  2.95 "   Alp Ara" 6510 158427 228069
 -0.3197 22.0964  2.96 " 34Alp Aqr" 8414 209750 145862
 23.7742  9.7642  2.98 " 17Eps Leo" 3873  84441  81004
 25.1311  6.7322  2.98 " 27Eps Gem" 2473  48329  78682
 13.8633 19.0902  2.99 " 17Zet Aql" 7235 177724 104461
 43.8233  5.0328  2.99 "  7Eps Aur" 1605  31964  39955
-30.4242 18.0968  2.99 " 10Gam2Sgr" 6746 165135 209696
 21.1425  5.6274  3.00 "123Zet Tau" 1910  37202  77336
 34.9872  2.1591  3.00 "  4Bet Tri"  622  13161  55306
-22.6197 12.1687  3.00 "  2Eps Crv" 4630 105707 180531
-23.1717 13.3154  3.00 " 46Gam Hya" 5020 115659 181543
 44.4986 11.1611  3.01 " 52Psi UMa" 4335  96833  43629
 47.7875  3.7154  3.01 " 39Del Per" 1122  22928  39053
-37.3650 21.8988  3.01 "   Gam Gru" 8353 207971 213374
-65.0719  9.7850  3.01 "   Ups Car" 3890  85123 250695
-23.8333  7.0504  3.02 " 24Omi2CMa" 2653  53138 172839
-30.0633  6.3386  3.02 "  1Zet CMa" 2282  44402 196698
 38.3083 14.5346  3.03 " 27Gam Boo" 5435 127762  64203
-40.1269 17.7931  3.03 "   Iot1Sco" 6615 161471 228420
 -2.9775  2.3224  3.04 " 68Omi Cet"  681  14386 129825
-42.4739 13.8269  3.04 "   Mu  Cen" 5193 120324 224471
 41.4994 10.3721  3.05 " 34Mu  UMa" 4069  89758  43310
 71.8339 15.3455  3.05 " 13Gam UMi" 5735 137422   8220
-68.1081 12.7714  3.05 "   Bet Mus" 4844 110879 252019
 67.6617 19.2093  3.07 " 57Del Dra" 7310 180711  18222
 27.9597 19.5120  3.08 "  6Bet1Cyg" 7417 183912  87301
-14.7814 20.3502  3.08 "  9Bet Cap" 7776 193495 163481
-38.0475 16.8645  3.08 "   Mu 1Sco" 6247 151890 208102
  5.9456  8.9232  3.11 " 16Zet Hya" 3547  76294 117264
-16.1936 10.8271  3.11 "   Nu  Hya" 4232  93813 156256
-36.7617 18.2938  3.11 "   Eta Sgr" 6832 167618 209957
-47.2914 20.6261  3.11 "   Alp Ind" 7869 196171 230300
-35.7683  5.8493  3.12 "   Bet Col" 2040  39425 196240
 34.3925  9.3509  3.13 " 40Alp Lyn" 3705  80493  61414
-42.1042 14.9860  3.13 "   Kap Cen" 5576 132200 225344
-55.9903 16.9770  3.13 "   Zet Ara" 6285 152786 244315
-57.0344  9.5204  3.13 "          " 3803  82668 237067
-63.0197 11.5963  3.13 "   Lam Cen" 4467 100841 251472
 24.8392 17.2505  3.14 " 65Del Her" 6410 156164  84951
 48.0417  8.9868  3.14 "  9Iot UMa" 3569  76644  42630
 36.8092 17.2508  3.16 " 67Pi  Her" 6418 156283  65890
 41.2344  5.1086  3.17 " 10Eta Aur" 1641  32630  40026
 51.6772  9.5476  3.17 " 25The UMa" 3775  82328  27289
 65.7147 17.1464  3.17 " 22Zet Dra" 6396 155763  17365
-26.9908 18.7609  3.17 " 27Phi Sgr" 7039 173300 187239
-43.1961  6.6294  3.17 "   Nu  Pup" 2451  47670 218071
  6.9614  4.8307  3.19 "  1Pi 3Ori" 1543  30652 112106
-22.3711  5.0910  3.19 "  2Eps Lep" 1654  32887 170051
-64.9753 14.7084  3.19 "   Alp Cir" 5463 128898 252853
  9.3750 16.9611  3.20 " 27Kap Oph" 6299 153210 121962
 30.2269 21.2156  3.20 " 64Zet Cyg" 8115 202109  71070
 77.6325 23.6558  3.21 " 35Gam Cep" 8974 222404  10818
-37.0433 17.8310  3.21 "          " 6630 161892 209318
-40.6475 15.3562  3.22 "   Del Lup" 5695 136298 225691
 -0.8214 20.1884  3.23 " 65The Aql" 7710 191692 144150
 70.5608 21.4777  3.23 "  8Bet Cep" 8238 205021  10057
 -4.6925 16.3054  3.24 "  2Eps Oph" 6075 146791 141086
 32.6894 18.9824  3.24 " 14Gam Lyr" 7178 176437  67663
-40.3047  2.9710  3.24 "   The1Eri"  897  18622 216113
-74.2389  3.7873  3.24 "   Gam Hyi" 1208  24512 256029
-43.3014  7.4872  3.25 "   Sig Pup" 2878  59717 218755
 -2.8989 18.3552  3.26 " 58Eta Ser" 6869 168723 142241
 30.8608  0.6555  3.27 " 31Del And"  165   3627  54058
-15.8208 22.9108  3.27 " 76Del Aqr" 8709 216627 165375
-24.9994 17.3668  3.27 " 42The Oph" 6453 157056 185320
-26.6825 14.1062  3.27 " 49Pi  Hya" 5287 123123 182244
-55.0450  4.5666  3.27 "   Alp Dor" 1465  29305 233564
-61.9414  6.8032  3.27 "   Alp Pic" 2550  50241 249647
 22.5067  6.2479  3.28 "  7Eta Gem" 2216  42995  78135
 58.9661 15.4155  3.29 " 12Iot Dra" 5744 137759  29520
-25.2819 15.0678  3.29 " 20Sig Lib" 5603 133216 183139
 57.0325 12.2571  3.31 " 69Del UMa" 4660 106591  28315
-16.2056  5.2155  3.31 "  5Mu  Lep" 1702  33904 150237
-46.7186  1.1014  3.31 "   Bet Phe"  322   6595 215365
-27.6706 19.1157  3.32 " 40Tau Sgr" 7234 177716 187683
-61.6853 10.5337  3.32 "          " 4140  91465 251006
-70.0381 10.2289  3.32 "   Ome Car" 4037  89080 250885
-43.2392 17.2026  3.33 "   Eta Sco" 6380 155203 227707
 -9.7736 17.9838  3.34 " 64Nu  Oph" 6698 163917 142004
 15.4294 11.2373  3.34 " 70The Leo" 4359  97633  99512
-24.8597  7.8216  3.34 "  7Xi  Pup" 3045  63700 174601
-56.3775 17.4232  3.34 "   Gam Ara" 6462 157246 244726
 58.2011 22.1809  3.35 " 21Zet Cep" 8465 210745  34137
-62.4739  4.2404  3.35 "   Alp Ret" 1336  27256 248969
  3.1147 19.4250  3.36 " 30Del Aql" 7377 182640 124603
 -2.3969  5.4079  3.36 " 28Eta Ori" 1788  35411 132071
 12.8956  6.7548  3.36 " 31Xi  Gem" 2484  48737  96074
 60.7181  8.5044  3.36 "  1Omi UMa" 3323  71369  14573
 -0.5958 13.5782  3.37 " 79Zet Vir" 5107 118098 139420
-44.6894 15.3780  3.37 "   Eps Lup" 5708 136504 225712
  3.3975 12.9267  3.38 " 43Del Vir" 4910 112300 119674
  6.4189  8.7796  3.38 " 11Eps Hya" 3482  74874 117112
 63.6700  1.9066  3.38 " 45Eps Cas"  542  11415  12031
 38.8403  3.0863  3.39 " 25Rho Per"  921  19058  56138
 10.8314 22.6910  3.40 " 42Zet Peg" 8634 214923 108103
 15.8708  4.4777  3.40 " 78The2Tau" 1412  28319  93957
-61.3322 10.2847  3.40 "          " 4050  89388 250905
 29.5789  1.8847  3.41 "  2Alp Tri"  544  11443  74996
-38.3969 16.0020  3.41 "   Eta Lup" 5948 143118 207208
-41.6878 13.8251  3.41 "   Nu  Cen" 5190 120307 224469
-43.3183  1.4728  3.41 "   Gam Phe"  429   9053 215516
-52.0992 15.2047  3.41 "   Zet Lup" 5649 134505 242304
 27.7206 17.7743  3.42 " 86Mu  Her" 6623 161797  85397
-66.2031 20.7493  3.42 "   Bet Pav" 7913 197051 254862
 61.8389 20.7548  3.43 "  3Eta Cep" 7957 198149  19019
 -4.8825 19.1041  3.44 " 16Lam Aql" 7236 177756 143021
 23.4172 10.2782  3.44 " 36Zet Leo" 4031  89025  81265
 57.8158  0.8183  3.44 " 24Eta Cas"  219   4614  21732
-58.9669  9.1828  3.44 "          " 3659  79351 236693
 33.3628 18.8347  3.45 " 10Bet Lyr" 7106 174638  67451
 42.9144 10.2849  3.45 " 33Lam UMa" 4033  89021  43268
-10.1822  1.1432  3.45 " 31Eta Cet"  334   6805 147632
  3.2358  2.7217  3.47 " 86Gam Cet"  804  16970 110707
 12.4903  4.0113  3.47 " 35Lam Tau" 1239  25204  93719
 19.4922 19.9793  3.47 " 12Gam Sge" 7635 189319 105500
 33.3147 15.2584  3.47 " 49Del Boo" 5681 135722  64589
-27.9347  7.0286  3.47 " 22Sig CMa" 2646  52877 172797
-52.9822  7.9463  3.47 "   Chi Car" 3117  65575 235635
 14.3903 17.2441  3.48 " 64Alp1Her" 6406 156014 102680
 24.6017 22.8334  3.48 " 48Mu  Peg" 8684 216131  90816
 33.0942 11.3080  3.48 " 54Nu  UMa" 4377  98262  62486
-51.3169 22.8093  3.49 "   Eps Gru" 8675 215789 247593
 40.3906 15.0324  3.50 " 42Bet Boo" 5602 133208  45337
-15.9375  1.7345  3.50 " 52Tau Cet"  509  10700 147986
-21.1067 18.9622  3.51 " 37Xi 2Sgr" 7150 175775 187504
-45.9683 18.4496  3.51 "   Alp Tel" 6897 169467 229023
  9.1856  8.2753  3.52 " 17Bet Cnc" 3249  69267 116569
  9.8922  9.6858  3.52 " 14Omi Leo" 3852  83808  98709
 16.7628 10.1222  3.52 " 30Eta Leo" 3975  87737  98955
 66.2006 22.8280  3.52 " 32Iot Cep" 8694 216228  20268
  6.1978 22.1700  3.53 " 26The Peg" 8450 210418 127340
 -3.4303 15.8270  3.53 " 32Mu  Ser" 5881 141513 140787
 19.1803  4.4769  3.53 " 74Eps Tau" 1409  28305  93954
 21.9822  7.3354  3.53 " 55Del Gem" 2777  56986  79294
 38.9222 16.7149  3.53 " 44Eta Her" 6220 150997  65504
  9.9342  5.5856  3.54 " 39Lam Ori" 1879  36861 112921
 -9.7633  3.7208  3.54 " 23Del Eri" 1136  23249 130686
-15.3986 17.6264  3.54 " 55Xi  Ser" 6561 159876 160700
-31.8578 11.5500  3.54 "   Xi  Hya" 4450 100407 202558
-54.5678  9.9477  3.54 "   Phi Vel" 3940  86440 237522
-14.8219  5.7826  3.55 " 14Zet Lep" 1998  38678 150801
-46.0578 14.3234  3.55 "   Iot Lup" 5354 125238 224833
 -8.8239  0.3238  3.56 "  8Iot Cet"   74   1522 128694
-14.7786 11.3224  3.56 " 12Del Crt" 4382  98430 156605
-33.7983  4.2982  3.56 " 41Ups4Eri" 1347  27376 194902
-36.2614 15.3634  3.56 "   Phi1Lup" 5705 136422 206552
-51.5122  2.2752  3.56 "   Phi Eri"  674  14228 232696
-66.1819 20.1454  3.56 "   Del Pav" 7665 190248 254733
 24.3981  7.7408  3.57 " 77Kap Gem" 2985  62345  79653
 48.6283  1.6332  3.57 " 51    And"  464   9927  37375
 72.7328 18.3509  3.57 " 44Chi Dra" 6927 170153   9087
-12.5447 20.3009  3.57 "  6Alp2Cap" 7754 192947 163427
-38.0175 16.8723  3.57 "   Mu 2Sco" 6252 151985 208116
 16.5403  7.3016  3.58 " 54Lam Gem" 2763  56537  96746
 30.3714 14.5305  3.58 " 25Rho Boo" 5429 127665  64202
-28.1350 15.6171  3.58 " 39Ups Lib" 5794 139063 183619
-60.4011 12.3560  3.59 "   Eps Cru" 4700 107446 251862
  9.0289  3.4136  3.60 "  1Omi Tau" 1030  21120 111172
 -6.8444  5.2934  3.60 " 20Tau Ori" 1735  34503 131952
 -8.1833  1.4004  3.60 " 45The Cet"  402   8512 129274
 33.9611  6.8798  3.60 " 34The Gem" 2540  50019  59570
 47.1567  9.0604  3.60 " 12Kap UMa" 3594  77327  42661
-22.4483  5.7411  3.60 " 13Gam Lep" 1983  38393 170759
-40.4667  9.5117  3.60 "   Psi Vel" 3786  82434 221234
  1.7647 11.8449  3.61 "  5Bet Vir" 4540 102870 119076
-12.3542 10.1765  3.61 " 41Lam Hya" 3994  88284 155785
-37.9686  7.7542  3.61 "          " 3017  63032 198398
 15.3458  1.5247  3.62 " 99Eta Psc"  437   9270  92484
 42.3261 23.0320  3.62 "  1Omi And" 8762 217675  52609
-42.3614 16.9097  3.62 "   Zet2Sco" 6271 152334 227402
-52.9219  8.6716  3.62 "          " 3447  74195 236164
-60.6839 17.5183  3.62 "   Del Ara" 6500 158094 253945
-64.7239 17.7622  3.62 "   Eta Pav" 6582 160635 254020
-71.5489 13.0378  3.62 "   Del Mus" 4923 112985 257000
 14.5953 20.6258  3.63 "  6Bet Del" 7882 196524 106316
 24.0533  3.8194  3.63 " 27    Tau" 1178  23850  76228
 27.2606  2.8331  3.63 " 41    Ari"  838  17573  75596
-66.7286 11.7601  3.64 "   Lam Mus" 4520 102249 251575
 -1.4494 12.6943  3.65 " 29Gam Vir" 4825 110379 138917
 15.6275  4.3299  3.65 " 54Gam Tau" 1346  27371  93868
 64.3758 14.0731  3.65 " 11Alp Dra" 5291 123299  16273
-58.4542 20.9135  3.65 "   Bet Ind" 7986 198700 246784
 53.8969  0.6162  3.66 " 17Zet Cas"  153   3360  21566
-21.1725 23.1574  3.66 " 88    Aqr" 8812 218594 191683
-29.7778 15.6443  3.66 " 40Tau Lib" 5812 139365 183649
-50.0917 18.1105  3.66 "   The Ara" 6743 165024 245242
 15.4219 15.7698  3.67 " 28Bet Ser" 5867 141003 101725
 63.0619  9.5255  3.67 " 23    UMa" 3757  81937  14908
 -1.4494 12.6943  3.68 " 29Gam Vir" 4826 110380 138917
 29.1058 15.4638  3.68 "  3Bet CrB" 5747 137909  83831
-16.6622 21.6682  3.68 " 40Gam Cap" 8278 206088 164560
-33.1864  8.7265  3.68 "   Alp Pyx" 3468  74575 199546
  3.2822 23.2861  3.69 "  6Gam Psc" 8852 219615 128085
  5.6050  4.8534  3.69 "  3Pi 4Ori" 1552  30836 112142
-21.7578  3.3253  3.69 " 16Tau4Eri" 1003  20720 168460
-62.5078  9.7541  3.69 "          " 3884  84810 250683
 24.1133  3.7479  3.70 " 17    Tau" 1142  23302  76131
 29.2478 17.9627  3.70 " 92Xi  Her" 6703 163993  85590
-51.6089  1.9326  3.70 "   Chi Eri"  566  11937 232573
  4.4778 15.8469  3.71 " 37Eps Ser" 5892 141795 121218
  6.4067 19.9219  3.71 " 60Bet Aql" 7602 188512 125235
 47.7794 11.7675  3.71 " 63Chi UMa" 4518 102224  43886
-14.1678  5.9401  3.71 " 16Eta Lep" 2085  40136 150957
  1.8928 14.7708  3.72 "109    Vir" 5511 130109 120648
  2.4406  4.9042  3.72 "  8Pi 5Ori" 1567  31237 112197
 38.0456 21.2465  3.72 " 65Tau Cyg" 8130 202444  71121
 43.9278 21.0822  3.72 " 62Xi  Cyg" 8079 200905  50424
 54.2847  5.9921  3.72 " 33Del Aur" 2077  40035  25502
  9.5639 18.1225  3.73 " 72    Oph" 6771 165777 123142
 -9.4583  3.5488  3.73 " 18Eps Eri" 1084  22049 130564
-10.3350  1.8577  3.73 " 55Zet Cet"  539  11353 148059
-40.5758  7.8703  3.73 "          " 3080  64440 219082
  9.7328  3.4528  3.74 "  2Xi  Tau" 1038  21364 111195
 -7.5797 22.8769  3.74 " 73Lam Aqr" 8698 216386 146362
-22.4114 21.4444  3.74 " 34Zet Cap" 8204 204075 190341
  2.7072 17.7982  3.75 " 62Gam Oph" 6629 161868 122754
 19.1531 16.3653  3.75 " 20Gam Her" 6095 147547 102107
 41.0758  5.0413  3.75 "  8Zet Aur" 1612  32068  39966
 56.8728 17.8921  3.75 " 32Xi  Dra" 6688 163588  30631
 58.4153 22.4862  3.75 " 27Del Cep" 8571 213306  34508
-47.0978  9.0693  3.75 "          " 3614  78004 220803
 17.5425  4.3822  3.76 " 61Del1Tau" 1373  27697  93897
 25.3450 22.1169  3.76 " 24Iot Peg" 8430 210027  90238
 55.8956  2.8449  3.76 " 15Eta Per"  834  17506  23655
-59.0414 16.8298  3.76 "   Eta Ara" 6229 151249 244168
-62.4897  5.5604  3.76 "   Bet Dor" 1922  37350 249311
-77.3900 21.6913  3.76 "   Nu  Oct" 8254 205478 257948
 -9.4958 20.7946  3.77 "  2Eps Aqr" 7950 198001 144810
 15.9119 20.6606  3.77 "  9Alp Del" 7906 196867 106357
 42.5786  3.7532  3.77 " 41Nu  Per" 1135  23230  39078
 50.2825 22.5215  3.77 "  7Alp Lac" 8585 213558  34542
 53.3686 19.2851  3.77 "  1Kap Cyg" 7328 181276  31537
-21.7417 19.0781  3.77 " 39Omi Sgr" 7217 177241 187643
-66.1369  8.4289  3.77 "   Bet Vol" 3347  71878 250228
-58.8533 10.8916  3.78 "          " 4257  94510 238574
-70.4989  7.1458  3.78 "   Gam2Vol" 2736  55865 256374
 20.5703  7.0685  3.79 " 43Zet Gem" 2650  52973  79031
 27.7981  7.4288  3.79 " 60Iot Gem" 2821  58207  79374
